subsidy_name,benefits,eligibility,how_to_apply
PM-KISAN,financial benefit of Rs. 6000/- per year is transferred in three equal four-monthly installments into the bank accounts of farmers’ families across the country,"All landholding farmers' families, which have cultivable landholding in their names are eligible to get benefit under the scheme",register at https://www.pmkisan.gov.in/
Kisan MaanDhan Yojana,"The applicants between the age group of 18 to 40 years will have to contribute between Rs. 55 to Rs. 200 per month till they attain the age of 60. PMKMY is taking care of the farmers during their old age and provides Rs. 3,000 monthly pension to the enrolled farmers once they attain 60 years of age","1. Age: The farmer must be between 18 and 40 years old at the time of enrollment
2. Landholding: The farmer must be a small or marginal landholder, owning cultivable land up to 2 hectares.","1. Visit the nearest Common Service Centre (CSC)
2. Bring your Aadhaar card and bank passbook or account details
Provide the required details to the Village Level Entrepreneur (VLE) at the CSC
Name, Aadhaar number, spouse and nominee particulars, mobile number (optional), address, date of birth
3. Bank account details for auto-debit of monthly contribution
4. The VLE will complete the online registration process"
Fasal Bima Yojana ,crop insurance product to ensure comprehensive risk cover for crops to farmers against all non-preventable natural risks from pre-sowing to post-harvest,available for all farmers,"For loan-taking farmers: The insurance coverage is compulsory and automatically included when availing crop loans.
For non-loan taking farmers: Approach the nearest Common Service Centre (CSC) or revenue officer/patwari."
Modified Interest Subvention Scheme,"provides concessional short term agri-loans to the farmers practicing crop husbandry and other allied activities like animal husbandry, dairying and fisheries. ISS is available to farmers availing short term crop loans up to Rs.3.00 lakh at an interest rate of 7% per annum for one year. ","Small and Marginal Farmers (SMFs) who have Kisan Credit Cards (KCCs) are eligible for the interest subvention.
Farmers involved in animal husbandry and fisheries activities are also covered under the scheme, with an overall limit of ₹3 lakh per annum.",The interest subvention is automatically included when availing crop loans through KCC.
"Crop Residue
Management","The key benefits of the Crop Residue Management scheme for farmers in Punjab, Haryana, Uttar Pradesh, and NCT of Delhi are:

1. **Mitigates Air Pollution**: The scheme aims to address the critical issue of air pollution caused by crop residue burning in these states. By promoting in-situ management of crop residue, it helps reduce the practice of stubble burning, which is a major contributor to air pollution. [1][4]

2. **Preserves Soil Fertility**: Burning crop residue leads to the loss of valuable nutrients and soil micro-organisms. The scheme encourages farmers to retain, incorporate or mulch the crop residues in the field, which helps preserve soil fertility and organic matter. [1][2][3]

3. **Financial Assistance for Machinery**: The scheme provides a 50% subsidy to farmers for the purchase of crop residue management machinery, such as happy seeders, mulchers, and paddy straw choppers. This helps offset the initial investment required for adopting these technologies. [1][3][4]

4. **Establishment of Custom Hiring Centers**: The scheme supports the setting up of Farm Machinery Banks or Custom Hiring Centers (CHCs) by cooperative societies, FPOs, and panchayats. These CHCs provide farmers access to crop residue management machinery at subsidized rates, making it more affordable for small and marginal farmers. [1][3]

5. **Awareness and Capacity Building**: The scheme includes information, education, and communication (IEC) activities to create awareness among farmers and other stakeholders about the importance of crop residue management and the available technologies and practices. It also provides training and demonstrations to build the capacity of farmers. [1][3]

6. **Promotion of Sustainable Practices**: By encouraging in-situ management of crop residue and exploring ex-situ utilization options, the scheme promotes sustainable agricultural practices and reduces the environmental impact of crop residue burning. [1][2][3]

Overall, the Crop Residue Management scheme aims to empower farmers in the target states by providing financial and technological support, while also addressing the critical environmental and soil health concerns associated with crop residue burning. [1][4]

Citations:
[1] https://kisanvedika.bighaat.com/govt-for-farmers/promotion-of-agricultural-mechanization-for-in-situ-management-of-crop-residue-in-the-states-of-punjab-haryana-uttar-pradesh-and-nct-of-delhi/
[2] https://gobardhan.co.in/assets/guidelines/Crop_Residue_Management_Guidelines_2023-24.pdf
[3] https://farmech.dac.gov.in/revised/2020/Guidelines-2022%20of%20%20CRM%20Scheme.pdf
[4] https://timesofindia.indiatimes.com/city/chandigarh/crop-residue-management-over-33k-crore-spent-rs-informed/articleshow/107572517.cms
[5] https://icar.org.in/sites/default/files/2022-06/Ex-Situ-Crop-Residue-Management.pdf","The key eligibility criteria for farmers to avail benefits under the Crop Residue Management scheme are:

1. **Individual farmers** are eligible for 50% subsidy on the cost of in-situ crop residue management machinery like Happy Seeders, Mulchers, Paddy Straw Choppers, etc.[1][2]

2. **Cooperative Societies of farmers, FPOs, Self-Help Groups, Registered Farmers Societies/groups, Private Entrepreneurs, and Group of women farmers** are eligible for 80% financial assistance to establish Custom Hiring Centres (CHCs) for in-situ crop residue management machinery[1][2]

3. **The scheme is implemented in the states of Punjab, Haryana, Uttar Pradesh and NCT of Delhi** to promote usage of equipment and machines for in-situ management of crop residue[1][2]

4. **Old established CHCs, with Non-Crop Residue Machinery, will also be eligible for fresh project under the scheme**[4]

5. **Any business model can be adopted for establishment of CHCs** under the scheme[4]

The scheme aims to create awareness among stakeholders through demonstrations, capacity building activities and information, education and communication strategies for effective utilization and management of crop residue. Since inception, Rs. 3138.17 crore has been released under the scheme and more than 2.42 lakh machines have been distributed to individual farmers and over 38,000 CHCs in the target states[1].

Citations:
[1] https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1942108
[2] https://farmech.dac.gov.in/revised/2020/Guidelines-2022%20of%20%20CRM%20Scheme.pdf
[3] https://gobardhan.co.in/assets/guidelines/Crop_Residue_Management_Guidelines_2023-24.pdf
[4] https://farmech.dac.gov.in/revised/1.1.2019/Guidelines-2019%20of%20%20Straw%20Management%20Scheme.docx
[5] https://vikaspedia.in/agriculture/policies-and-schemes/crops-related/agricultural-mechanization-for-in-situ-management-of-crop-residues","Here are the key steps for farmers to apply for Crop Residue Management (CRM) machinery under the scheme:

1. **Identification of Beneficiaries**:
   - Farmers are identified as beneficiaries by the State/district nodal agencies in a transparent manner, with a focus on areas with larger problems of crop residue burning[1].

2. **Financial Assistance**:
   - Farmers can avail financial assistance of 50% of the cost for procurement of CRM machines on individual ownership basis[1].

3. **Submission of Project Proposal**:
   - Farmers submit project proposals to the State Governments for approval through project sanctioning committees[1].

4. **Establishment of Custom Hiring Centres (CHCs)**:
   - CHCs are established for custom hiring of CRM machinery. These centers are managed by Cooperative Societies of farmers, FPOs, and Panchayats[1].

5. **Information, Education, and Communication (IEC)**:
   - Strategic IEC activities are undertaken with the involvement of all stakeholders, including farmers, for mass awareness and effective utilization of CRM machinery[1].

6. **Implementation and Monitoring**:
   - The scheme is implemented through the Department of Agriculture & Farmers Welfare, Ministry of Agriculture & Farmers Welfare, and the State Governments. The High Level Monitoring Committee (HLMC) oversees the implementation and monitoring of the scheme[1].

By following these steps, farmers can avail the benefits of the Crop Residue Management scheme and contribute to reducing air pollution and promoting sustainable agricultural practices.

Citations:
[1] https://www.slideshare.net/slideshow/residue-managment/70750632
[2] https://shapiroe.com/blog/crop-residue-management-guide/
[3] https://www.slideshare.net/slideshow/insitu-crop-residue-management-machinries-for-management/139990233
[4] https://eos.com/blog/crop-residue-management/
[5] https://www.teriin.org/sites/default/files/2020-01/crop-residue-management.pdf"
Agriculture Infrastructure Fund (AIF),"
    Provides a medium-to-long-term debt financing facility of ₹1 lakh crore for investment in viable projects for post-harvest management infrastructure and community farming assets.
    Offers 3% per annum interest subvention on loans up to ₹2 crore.
    Provides credit guarantee coverage under the Credit Guarantee Fund Trust for Micro and Small Enterprises (CGTMSE) for loans up to ₹2 crore.
    Allows a moratorium period of 6 months to 2 years for repayment.","
    Farmers, Agri-entrepreneurs, Startups, Primary Agricultural Credit Societies (PACS), Marketing Cooperative Societies, Farmer Producer Organizations (FPOs), Self-Help Groups (SHGs), Joint Liability Groups (JLGs), etc.
    Central/State government agencies or local bodies for Public-Private Partnership (PPP) projects.
    State agencies, Agricultural Produce Market Committees (APMCs), national and state-level federations of cooperatives, FPOs, and SHGs.","Eligible entities (farmers, FPOs, PACS, agri-entrepreneurs, etc.) can apply for the AIF scheme through their respective banks or financial institutions.
The application form and required documents need to be submitted to the bank branch or online portal. The documents typically include:

    Proof of identity (Aadhaar, PAN card, etc.)
    Proof of address
    Project details and cost estimates
    Bank account details
    Any other relevant documents as per the bank's requirements

The bank will evaluate the application and project viability. If approved, the bank will sanction the loan and disburse the funds.
For loans up to ₹2 crore, the borrower can avail of the interest subvention of 3% per annum and credit guarantee coverage under the CGTMSE scheme."
 National Beekeeping and Honey Mission (NBHM),"
    Provides financial assistance of up to ₹18 lakh per Farmer Producer Organization (FPO) for a period of 3 years.
    Offers a matching equity grant of up to ₹2,000 per farmer member of an FPO, with a limit of ₹15 lakh per FPO.
    Provides a credit guarantee facility of up to ₹2 crore of project loan per FPO from eligible lending institutions.
    Includes provisions for training and skill development of FPOs.
    Onboards FPOs on the National Agriculture Market (e-NAM) platform for online trading and transparent price discovery.","
    FPOs registered under the Companies Act or the Cooperative Societies Act are eligible for assistance under the scheme.
    FPOs must have a minimum of 300 farmer members to be eligible for financial assistance.","
    FPOs need to submit their proposals to the implementing agencies like NABARD, SFAC, or state governments.
    The proposals should include details of the FPO, its members, activities, and the financial assistance required.
    The implementing agencies evaluate the proposals based on the scheme guidelines and approve the assistance.
    The approved funds are then released to the FPOs in installments based on their progress and utilization of the previous funds."
Market Intervention Scheme and Price support Scheme (MIS-PSS),"Protects growers of perishable agricultural and horticultural commodities from making distress sales during times of bumper crops and low prices.
Provides remunerative prices to farmers in case of surplus production and falling prices.
    When market prices fall below the Minimum Support Price (MSP), government agencies procure commodities directly from farmers at the MSP.
    This protects farmers from economic losses due to low market prices.","MIS is implemented at the request of a State/UT government, which must be willing to bear 50% of any losses (25% for North-Eastern states).The total amount of loss shared is restricted to 25% of the total procurement value.Farmers in the state can sell their produce at the MSP to government procurement centers.","The State/UT government must submit a proposal with full details of the commodity to the Department of Agriculture & Cooperation.
The Joint Secretary, Cooperation Division, Department of Agriculture & Cooperation is the contact person.
    Farmers need to visit the designated APMC procurement centers to sell their produce at the MSP.
    They must carry required documents like land records, ID proof, bank details, etc."
 Namo Drone Didi Scheme,"
    Provides 80% financial assistance (up to ₹8 lakhs) to women's Self-Help Groups (SHGs) to purchase drones and accessories.
    Enables SHGs to provide drone rental services to farmers for agricultural tasks like spraying fertilizers/pesticides, crop monitoring, etc.
    Aims to generate an additional annual income of at least ₹1 lakh per SHG member.
    Helps modernize agricultural practices and increase productivity.","
    The scheme is open to 15,000 selected women's Self-Help Groups (SHGs) across India.
    SHGs must be registered under the Deendayal Antyodaya Yojana - National Rural Livelihoods Mission (DAY-NRLM).
    Priority will be given to SHGs from lower economic groups in rural areas.","
    The application process has not been announced yet, but is expected to open soon.
    SHGs will need to submit proposals to the Ministry of Agriculture and Farmers' Welfare.
    Selection criteria may include technical capabilities, agricultural experience, and geographical factors.
    Selected SHGs will receive 80% financial assistance to purchase drones, while the remaining 20% can be availed as a subsidized loan."
Rashtriya Krishi Vikas Yojana - Detailed Project Report (RKVY-DPR) scheme,"
    Provides financial assistance to states for creating pre and post-harvest infrastructure in agriculture and allied sectors.
    Helps improve the supply of quality inputs, market facilities, and other support to farmers.
    Gives states flexibility and autonomy to implement projects based on local farmers' needs and priorities.
    Aims to fill resource gaps in the agriculture and allied sectors to increase overall growth and productivity.
    Promotes agri-entrepreneurship and supports agri-startups through the RKVY Agri-Startup Program.","
    RKVY-DPR is a state-level scheme, so states/UTs are the primary beneficiaries.
    States must prepare detailed project reports (DPRs) as per the prescribed format to access funding under the scheme.
    Projects exceeding ₹25 crore require third-party techno-financial evaluation and consultation with central ministries.","
    States/UTs need to submit their RKVY-DPR proposals to the Department of Agriculture & Cooperation.
    A State Level Sanctioning Committee (SLSC) chaired by the Chief Secretary approves the projects.
    The state agriculture department is the nodal agency for implementing RKVY-DPR in the state.
    Funding pattern is 60:40 between the center and states (90:10 for North-Eastern and Himalayan states)."
